symbol,short_name
RELIANCE,RELIANCE INDS
TCS,TATA CONSULTANCY S
HDFCBANK,HDFC BANK
ICICIBANK,ICICI BANK
INFY,INFOSYS LTD
HINDUNILVR,HINDUSTAN UNILEVER
BHARTIARTL,BHARTI AIRTEL LTD
ITC,ITC LTD
SBIN,STATE BK OF INDIA
LICI,Life Insura Corp of India
LT,LARSEN & TOUBRO
BAJFINANCE,BAJAJ FINANCE LTD
HCLTECH,HCL TECHNOLOGIES
KOTAKBANK,KOTAK MAHINDRA BAN
AXISBANK,AXIS BANK
ASIANPAINT,ASIAN PAINTS LTD
TITAN,TITAN COMPANY LTD
ADANIENT,ADANI ENTERPRISES
MARUTI,MARUTI SUZUKI IND
ULTRACEMCO,ULTRATECH CEMENT
SUNPHARMA,SUN PHARMACEUTICAL
NTPC,NTPC LTD
BAJAJFINSV,BAJAJ FINSERV LTD
DMART,AVENUE SUPERMARTS
TATAMOTORS,TATA MOTORS LTD.
ONGC,OIL & NATURAL GAS
NESTLEIND,NESTLE INDIA
ADANIGREEN,ADANI GREEN ENERGY
WIPRO,WIPRO LTD
COALINDIA,COAL INDIA LTD
ADANIPORTS,ADANI PORT SPECIAL
POWERGRID,POWER GRID CORP
JSWSTEEL,JSW STEEL LTD
M&M,MAHINDRA &MAHINDRA
ADANIPOWER,ADANI POWER LTD
BAJAJ-AUTO,BAJAJ AUTO LTD
HAL,HINDUSTAN AERONAUT
LTIM,LTIMINDTREE LIMITED
IOC,INDIAN OIL CORP
DLF,DLF LIMITED
TATASTEEL,TATA STEEL LTD
VBL,VARUN BEVERAGES
JIOFIN,Jio Fin Services Ltd
SBILIFE,SBI LIFE INSURANCE
SIEMENS,SIEMENS INDIA LTD
GRASIM,GRASIM INDUSTRIES
HDFCLIFE,HDFC LIFE INSURANC
HINDALCO,HINDALCO INDS
PIDILITIND,PIDILITE INDUSTRIE
BEL,BHARAT ELECTRONICS
HINDZINC,HINDUSTAN ZINC
IRFC,Indian Railway Fin Corp L
BRITANNIA,BRITANNIA INDS
PFC,POWER FINANCE CORP
INDUSINDBK,INDUSIND BANK LTD
TECHM,TECH MAHINDRA
BANKBARODA,BK OF BARODA
ADANIENSOL,ADANI ENERGY SOLUTION LTD
GODREJCP,GODREJ CONSUMER PR
INDIGO,INTERGLOBE AVIATIO
EICHERMOT,EICHER MOTORS
RECLTD,REC LTD
ATGL,ADANI TOTAL GAS LIMITED
TRENT,TRENT LTD
ZOMATO,Zomato Limited
GAIL,GAIL INDIA LTD
TATAPOWER,TATA POWER CO LTD
CHOLAFIN,CHOLAMANDALAM INV
PNB,PUNJAB NATL BANK
DIVISLAB,DIVI'S LABORATORIE
AMBUJACEM,AMBUJA CEMENTS LTD
SHREECEM,SHREE CEMENT LTD
TATACONSUM,TATA CONSUMER PRODUCT LTD
CIPLA,CIPLA LTD
ABB,ABB INDIA LTD
DABUR,DABUR INDIA LTD
LODHA,Macrotech Developers Ltd
BPCL,BHARAT PETROL CORP
DRREDDY,DR REDDYS LABS
TVSMOTOR,TVS MOTOR CO
VEDL,VEDANTA LIMITED
UNIONBANK,UNION BK OF INDIA
HAVELLS,HAVELLS INDIA
BAJAJHLDNG,BAJAJ HLDG & INVES
HEROMOTOCO,HERO MOTOCORP LTD
POLYCAB,POLYCAB INDIA LTD
APOLLOHOSP,APOLLO HOSPITALS.
IOB,INDIAN OVERSEAS BK
MCDOWELL-N,UNITED SPIRITS
MANKIND,Mankind Pharma Limited
CANBK,CANARA BANK
TORNTPHARM,TORRENT PHARM
IDEA,VODAFONE IDEA LTD
SHRIRAMFIN,SHRIRAM FINANCE LIMITED
ICICIPRULI,ICICI PRUDENTIAL L
JINDALSTEL,JINDAL STEEL & PWR
SRF,SRF LIMITED
IDBI,IDBI BANK LTD
SBICARD,SBI CARDS & PAYMEN
IRCTC,Indian Rail Tour Corp Ltd
MARICO,MARICO LTD
BERGEPAINT,BERGER PAINTS IND
ICICIGI,ICICI LOMBARD GEN
ZYDUSLIFE,ZYDUS LIFESCIENCES
CGPOWER,CG POWER AND INDUS
MOTHERSON,SAMVRDHNA MTHRSN INTL LTD
COLPAL,COLGATE-PALM (IND)
TIINDIA,TUBE INVESTMENTS O
HDFCAMC,HDFC ASSET MANAGEM
BHEL,BHARAT HEAVY ELECT
JSWENERGY,JSW ENERGY LTD
MAXHEALTH,Max Healthcare Ins Ltd
NAUKRI,INFO EDGE
BOSCHLTD,BOSCH LTD
NHPC,NHPC LTD
AUROPHARMA,AUROBINDO PHARMA
IDFCFIRSTB,IDFC FIRST BANK
INDHOTEL,INDIAN HOTELS
ALKEM,ALKEM LAB LTD
YESBANK,YES BANK
NMDC,NMDC LTD
SOLARINDS,SOLAR INDUSTRIES I
LUPIN,LUPIN LTD
MUTHOOTFIN,MUTHOOT FINANCE LT
SUPREMEIND,SUPREME INDUSTRIES
BHARATFORG,BHARAT FORGE
PATANJALI,PATANJALI FOODS LIMITED
PERSISTENT,PERSISTENT SYSTEMS
INDIANB,INDIAN BANK
HINDPETRO,HINDUSTAN PETROL
PGHH,PROCTER&GAMBLE IND
GODREJPROP,GODREJ PROPERTIES
LTTS,L&T TECHNOLOGY SER
MRF,MRF LTD
TATAELXSI,TATA ELXSI
CUMMINSIND,CUMMINS INDIA
GICRE,GENERAL INSURANCE
INDUSTOWER,INDUS TOWERS LIMITED
PIIND,PI INDUSTRIES
ASHOKLEY,ASHOK LEYLAND
AUBANK,AU SMALL FINANCE B
OBEROIRLTY,OBEROI REALTY LTD
CONCOR,CONTAINER CORP
FACT,FERTILIZERS & CHEM
SUZLON,SUZLON ENERGY LTD
MPHASIS,MPHASIS LTD
BANKINDIA,BK OF INDIA
ASTRAL,ASTRAL LTD
SAIL,STEEL AUTHOR INDIA
TATACOMM,TATA COMMUNICATION
SCHAEFFLER,SCHAEFFLER INDIA L
BALKRISIND,BALKRISHNA INDS
NYKAA,FSN E Commerce Ventures
GMRINFRA,GMR AIRPORTS INFRA
LINDEINDIA,LINDE INDIA LTD
TATATECH,Tata Technologies Limited
UCOBANK,UCO BANK
PRESTIGE,PRESTIGE ESTATES P
UBL,UNITED BREWERIES L
JSL,JINDAL STAINLESS
AWL,Adani Wilmar Limited
MAZDOCK,Mazagon Dock Shipbuil Ltd
TORNTPOWER,TORRENT POWER
UPL,UPL LIMITED
JSWINFRA,JSW Infrastructure Ltd
CENTRALBK,CENTRAL BANK OF IN
ABCAPITAL,ADITYA BIRLA CAPIT
PAGEIND,PAGE INDUSTRIES LT
DALBHARAT,DALMIA BHARAT LTD
APLAPOLLO,APL APOLLO TUBES
3MINDIA,3M INDIA LTD
ACC,ACC LIMITED
KPITTECH,KPIT TECHNOLOGIES
L&TFH,L&T FINANCE HOLDIN
FLUOROCHEM,Gujarat Fluorochem Ltd
OIL,OIL INDIA LTD
PAYTM,One 97 Communications Ltd
PHOENIXLTD,PHOENIX MILLS
UNOMINDA,UNO MINDA LIMITED
DIXON,DIXON TECHNOLOGIES
SUNDARMFIN,SUNDARAM FINANCE L
BANDHANBNK,BANDHAN BANK LTD
COFORGE,COFORGE LIMITED
FEDERALBNK,FED BANK
RVNL,RAIL VIKAS NIGAM
SONACOMS,Sona BLW Precision Frgs L
JUBLFOOD,JUBILANT FOODWORKS
COROMANDEL,COROMANDEL INTL
THERMAX,THERMAX
OFSS,ORACLE FIN SERVICE
KALYANKJIL,Kalyan Jewellers Ind Ltd
POLICYBZR,PB Fintech Limited
SJVN,SJVN LTD
NLCINDIA,NLC INDIA LTD
AIAENG,AIA ENGINEERING
NIACL,THE NEW INDIA ASSU
METROBRAND,Metro Brands Limited
M&MFIN,MAHINDRA &MAH FIN
DEEPAKNTR,DEEPAK NITRITE
POONAWALLA,POONAWALLA FINCORP LTD
PETRONET,PETRONET LNG
ESCORTS,ESCORTS KUBOTA LTD
MFSL,MAX FINANCIAL SERV
HONAUT,HONEYWELL AUTO IND
VOLTAS,VOLTAS LTD
GLAXO,GLAXO SMITHKLINE P
MAHABANK,BK OF MAHARASHTRA
GUJGASLTD,GUJARAT GAS LTD
CRISIL,CRISIL LTD
GLAND,Gland Pharma Limited
FORTIS,FORTIS HLTH (INDIA
BDL,BHARAT DYNAMICS LT
STARHEALTH,Star Health & Al Ins Co L
MANYAVAR,Vedant Fashions Limited
ZFCVINDIA,ZF COM VE CTR SYS IND LTD
LLOYDSME,Lloyds Metals N Energy L
BSE,BSE LIMITED
BIOCON,BIOCON LTD
LICHSGFIN,LIC HOUSING FINAN
KEI,KEI INDUSTRIES
IGL,INDRAPRASTHA GAS
ANGELONE,ANGEL ONE LIMITED
JKCEMENT,JK CEMENTS LTD
ITI,INDIAN TEL IND(ITI
PSB,PUNJAB & SIND BANK
APOLLOTYRE,APOLLO TYRES
DELHIVERY,Delhivery Limited
IPCALAB,IPCA LABORATORIES
SYNGENE,SYNGENE INTERNATIO
KPRMILL,KPR MILL LTD
TATACHEM,TATA CHEMICALS
SUNTV,SUN TV NETWORK LTD
NAM-INDIA,NIPPON L I A M LTD
IREDA,Indian Renewable Energy
MSUMI,Motherson Sumi Wrng Ind L
ENDURANCE,ENDURANCE TECH
EXIDEIND,EXIDE INDUSTRIES
KANSAINER,KANSAI NEROLAC PAI
AJANTPHARM,AJANTA PHARMA
HINDCOPPER,HINDUSTAN COPPER
ZEEL,ZEE ENTERTAIN ENT
SUNDRMFAST,SUNDRAM FASTNERS
GRINDWELL,GRINDWELL NORTON
MEDANTA,Global Health Limited
360ONE,360 ONE WAM LIMITED
CREDITACC,CREDITACCESS GRAME
CYIENT,CYIENT LIMITED
HATSUN,HATSUN AGRO PRODUC
HUDCO,HOUSING & URBAN
JBCHEPHARM,J.B.CHEMICALS & PH
IRB,IRB INFRASTRUCTURE
GODREJIND,GODREJ INDUSTRIES
EMAMILTD,EMAMI LTD
NH,NARAYANA HRUDAYALA
TIMKEN,TIMKEN INDIA
APARINDS,APAR INDUSTRY LTD
NATIONALUM,NATIONAL ALUMINUM
RAMCOCEM,RAMCO CEMENTS(THE)
GLENMARK,GLENMARK PHARM
RATNAMANI,RATNAMANI MET &TBS
AARTIIND,AARTI IND LTD
DEVYANI,Devyani International Ltd
MRPL,MANGALORE REF &PET
ISEC,ICICI SEC. LTD
LAURUSLABS,LAURUS LABS LTD
IIFL,IIFL FINANCE LTD
SKFINDIA,SKF INDIA
RELAXO,RELAXO FOOTWEARS
KIOCL,KIOCL LTD
POWERINDIA,HITACHI ENERGY IND
RADICO,RADICO KHAITAN
TATAINVEST,TATA INVESTMENT
LALPATHLAB,DR LAL PATHLABS LT
FIVESTAR,Five-Star Bus Fin Ltd
ABFRL,ADITYA BIRLA FASH
BATAINDIA,BATA INDIA
CARBORUNIV,CARBORUNDUM UNVRSL
GILLETTE,GILLETTE INDIA LTD
ATUL,ATUL LTD
PEL,PIRAMAL ENTERPRISE
SONATSOFTW,SONATA SOFTWARE
KAJARIACER,KAJARIA CERAMICS
BRIGADE,BRIGADE ENTERPRISE
ASTERDM,ASTER DM HEALTHCAR
PNBHOUSING,PNB HOUSING
IDFC,IDFC LIMITED
SUMICHEM,Sumitomo Chemical Ind Ltd
CROMPTON,CROMPTON GREAVES C
BSOFT,BIRLASOFT (INDIA)
CHOLAHLDNG,CHOLAMANDALAM FIN
PFIZER,PFIZER LTD
BLUESTARCO,BLUE STAR
NAVINFLUOR,NAVIN FLUORINE INT
CDSL,CENTRAL DEPOSITORY
SANOFI,SANOFI INDIA LTD
TRIDENT,TRIDENT LTD
MOTILALOFS,MOTILAL OSWAL FINA
SUVENPHAR,Suven Pharmaceuticals Ltd
PPLPHARMA,Piramal Pharma Limited
AFFLE,Affle (India) Limited
VINATIORGA,VINATI ORGANICS
TTML,TATA TELESERVICES
CIEINDIA,CIE AUTOMOTIVE INDIA LTD
COCHINSHIP,COCHIN SHIPYARD LT
CASTROLIND,CASTROL INDIA
RRKABEL,R R Kabel Limited
JYOTHYLAB,JYOTHY LABS LTD
CESC,CESC
BLUEDART,BLUE DART EXPRESS
WHIRLPOOL,WHIRLPOOL OF INDIA
JBMA,JBM AUTO LTD
GSPL,GUJARAT STATE PETR
ELGIEQUIP,ELGI EQUIPMENT LTD
CENTURYPLY,CENTURYPLY LTD
RBLBANK,RBL BANK LIMITED
CELLO,Cello World Limited
KAYNES,Kaynes Technology Ind Ltd
RHIM,RHI MAGNESITA INDIA LTD
CLEAN,Clean Science & Tech Ltd
FINCABLES,FINOLEX CABLES
INDIAMART,IndiaMART InterMESH Ltd
INOXWIND,INOX WIND LTD
PVRINOX,PVR INOX LIMITED
IRCON,IRCON INTERNATIONA
DCMSHRIRAM,DCM SHRIRAM LTD
SHYAMMETL,Shyam Metalics and Engy L
APTUS,Aptus Value Hsg Fin I Ltd
CGCL,CAPRI GLOBAL CAPIT
KIMS,Krishna Inst of Med Sci L
TVSHLTD,TVS HOLDINGS LIMITED
EIHOTEL,EIH LTD
CHAMBLFERT,CHAMBAL FERTILISER
CONCORDBIO,Concord Biotech Limited
FINEORG,FINE ORGANIC IND
KEC,KEC INTERNATIONAL
NSLNISP,NMDC Steel Limited
IEX,INDIAN ENERGY EXCH
APLLTD,ALEMBIC PHARMACEUT
TEJASNET,TEJAS NETWORKS LTD
NATCOPHARM,NATCO PHARMA LTD
TANLA,TANLA PLATFORMS L
NBCC,NBCC (INDIA) LTD
LAXMIMACH,LAKSHMI MACHINE
MANAPPURAM,MANAPPURAM FINANCE
WELCORP,WELSPUN CORP LTD
CHALET,CHALET HOTELS LTD
POLYMED,POLY MEDICURE LTD
HONASA,Honasa Consumer Limited
TITAGARH,TITAGARH RAIL SYSTEMS LTD
WELSPUNLIV,WELSPUN LIVING
ASAHIINDIA,ASAHI INDIA GLASS
GESHIP,GREAT EASTERN SHI
ARE&M,AMARA RAJA ENERGY MOB LTD
ZENSARTECH,ZENSAR TECHNOLOGIE
REDINGTON,REDINGTON LTD
ASTRAZEN,ASTREZENECA PHARMA
NUVOCO,Nuvoco Vistas Corp Ltd
BIKAJI,Bikaji Foods Intern Ltd
CENTURYTEX,CENTURY TEXT & IND
HAPPSTMNDS,Happiest Minds Techno Ltd
HSCL,HIMADRI SPECIALITY
KARURVYSYA,KARUR VYSYA BANK
J&KBANK,JAMMU & KASHMIR BA
ABSLAMC,Adit Birl Sun Lif AMC Ltd
SWANENERGY,SWAN ENERGY LTD
SFL,SHEELA FOAM LTD
TRITURBINE,TRIVENI TURBINE LT
BASF,BASF INDIA
JINDALSAW,JINDAL SAW LTD
BLS,BLS INTERNATIONAL
JWL,JUPITER WAGONS LIMITED
RKFORGE,RAMKRISHNA FORGINS
FINPIPE,FINOLEX INDUSTRIES
CAMS,Computer Age Mngt Ser Ltd
ALKYLAMINE,ALKYL AMINES
GMDCLTD,GUJARAT MINERAL DE
GET&D,GE T&D INDIA LTD
FSL,FIRSTSOURCE SOLUTI
WESTLIFE,Westlife Development Ltd
ECLERX,ECLERX SERVICES
VGUARD,V-GUARD INDUSTRIES
NUVAMA,Nuvama Wealth Manage Ltd
MAHSEAMLES,MAHARASHTRA SEAML
ERIS,ERIS LIFESCIENCES
AEGISCHEM,AEGIS LOGISTICS
SIGNATURE,Signatureglobal India Ltd
JAIBALAJI,JAI BALAJI IND
AAVAS,AAVAS FINANCIERS L
RAINBOW,RAINBOW CHILDRENS
HBLPOWER,HBL POWER SYSTEMS
RITES,RITES LTD
KSB,KSB LTD
HFCL,HFCL LTD
SYRMA,Syrma SGS Technology Ltd
EQUITASBNK,Equitas Small Fin Bnk Ltd
AKZOINDIA,AKZO NOBEL INDIA
MGL,MAHANAGAR GAS LTD
BEML,BEML LTD
AETHER,Aether Industries Limited
GNFC,GUJARAT NARMADA VA
KPIL,KALPATARU PROJECTS
RAYMOND,RAYMOND LTD
INTELLECT,INTELLECT DESIGN A
CRAFTSMAN,Craftsman Automation Ltd
BAJAJELEC,BAJAJ ELECTRICALS
ANURAS,Anupam Rasayan India Ltd
VTL,VARDHMAN TEXTILES
UJJIVANSFB,Ujjivan Small Financ Bank
BIRLACORPN,BIRLA CORP
GRINFRA,G R Infraprojects Limited
OLECTRA,OLECTRA GREENTECH
CUB,CITY UNION BANK
UTIAMC,UTI Asset Mngmt Co Ltd
BBTC,BOMBAY BURMAH
GODFRYPHLP,GODFREY PHILLIPS
NEWGEN,NEWGEN SOFTWARE
RAILTEL,Railtel Corp of Ind Ltd
ANANDRATHI,Anand Rathi Wealth Ltd
RAJESHEXPO,RAJESH EXPORTS
GRAPHITE,GRAPHITE INDIA
GODREJAGRO,GODREJ AGROVET LTD
ZYDUSWELL,ZYDUS WELLNESS LTD
GPIL,GODAWARI POWER
ALOKINDS,Alok Industries Limited
IBULHSGFIN,INDIABULLS HOUSING
JKLAKSHMI,JK LAKSHMI CEMENT
AMBER,AMBER ENTERPRISES
RTNINDIA,RATTANINDIA ENT LIMITED
SPLPETRO,Supreme Petrochem Limited
MAPMYINDIA,C.E. Info Systems Limited
NCC,NCC LTD
DATAPATTNS,Data Patterns India Ltd
ELECON,ELECON ENGINEERING
CHENNPETRO,CHENNAI PETRO CP
CANFINHOME,CANFIN HOMES
CAPLIPOINT,CAPLIN POINT LABOR
TTKPRESTIG,TTK PRESTIGE
PRAJIND,PRAJ INDUSTRIES
CERA,CERA SANITARYWARE
SWSOLAR,Sterling & Wilson So Ltd
RENUKA,SHREE RENUKA SUGAR
ROUTE,ROUTE MOBILE LIMITED
GRSE,GARDEN REACH SHIPB
EIDPARRY,E.I.D.-PARRY(INDIA
ACE,ACTION CONSTRUCT
GALAXYSURF,GALAXY SURFACTANTS
INGERRAND,INGERSOLL RAND
GRANULES,GRANULES INDIA
CEATLTD,CEAT LTD
JKTYRE,JK TYRE&INDUSTRIES
SCHNEIDER,SCHNEIDER ELECTR
HAPPYFORGE,Happy Forgings Limited
ENGINERSIN,ENGINEERS INDIA
GSFC,GUJARAT STATE FER
ANANTRAJ,ANANT RAJ LTD
JPPOWER,JAIPRAKASH POWER
SBFC,SBFC Finance Limited
KIRLOSENG,KIRLOSKAR OIL ENGI
LEMONTREE,LEMON TREE HOTELS
PCBL,PCBL LIMITED
JMFINANCIL,JM FINANCIAL
LATENTVIEW,Latent View Analytics Ltd
SOBHA,SOBHA LIMITED
SPARC,SUN PHARMA ADV
SAFARI,Safari Ind (India) Ltd
PRSMJOHNSN,PRISM JOHNSON LTD
MINDACORP,MINDA CORP LTD
NETWORK18,NETWORK 18 MEDIA
ESABINDIA,ESAB INDIA
SAPPHIRE,Sapphire Foods India Ltd
USHAMART,USHA MARTIN
PNCINFRA,PNC INFRATECH LTD
MMTC,MMTC
MEDPLUS,Medplus Health Serv Ltd
SARDAEN,SARDA ENERGY & MIN
RPOWER,RELIANCE POWER
RCF,RASHTRIYA CHEM & F
TVSSCS,TVS Supply Chain Sol L
JUBLPHARMA,JUBILANT PHARMOVA LTD
TV18BRDCST,TV18 BROADCAST LTD
BALAMINES,BALAJI AMINES LTD
MASTEK,MASTEK
TECHNOE,TECHNO ELECTRIC &
METROPOLIS,METROPOLIS HEALTHC
KRBL,KRBL LTD
DEEPAKFERT,DEEPAK FERTILISERS
RATEGAIN,Rategain Travel Techn ltd
CCL,CCL PRODUCTS(IND)
CAMPUS,Campus Activewear Limited
VIPIND,VIP INDUSTRIES
MAHSCOOTER,MAHARASHTRA SCOOT
VARROC,VARROC ENGINEERING
SURYAROSNI,SURYA ROSHNI
MAHLIFE,MAHINDRA LIFESPACE
GAEL,GUJARAT AMBUJA EXP
RELINFRA,RELIANCE INFRASTRU
BALRAMCHIN,BALRAMPUR CHINI MI
IONEXCHANG,Ion Exchange (India) Ltd
KFINTECH,Kfin Technologies Limited
HOMEFIRST,Home First Fin Co Ind Ltd
PGHL,PROCTER & GAMBLE HEALTH L
PRINCEPIPE,Prince Pipes Fittings Ltd
RESPONIND,RESPONSIVE INDUSTR
PTCIL,PTC Industries Limited
KTKBANK,KARNATAKA BANK
JUBLINGREA,Jubilant Ingrevia Limited
GLS,Glenmark Life Science Ltd
MANINFRA,MAN INFRACONSTRUCT
SPANDANA,Spandana Sphoorty Fin Ltd
INDIACEM,INDIA CEMENTS
ACI,Archean Chemical Ind Ltd
INOXINDIA,INOX India Limited
LXCHEM,Laxmi Organic Indus Ltd
TMB,Tamilnad Merca Bank Ltd
CHEMPLASTS,Chemplast Sanmar Limited
ALLCARGO,ALLCARGO LOGISTICS
EMIL,Electronics Mart Ind Ltd
SANDUMA,Sandur Mang & Iron Ores L
MIDHANI,MISHRA DHATU NIGAM
QUESS,QUESS CORP LTD
TEGA,Tega Industries Limited
MHRIL,MAHINDRA HOLIDAYS
SHOPERSTOP,SHOPPERS STOP
DOMS,DOMS Industries Limited
SCI,SHIPPING CP INDIA
GRAVITA,GRAVITA INDIA LTD
TRIVENI,TRIVENI ENGINEERIN
GPPL,GUJARAT PIPAVAV PO
HEG,HEG LIMITED
EDELWEISS,EDELWEISS FIN SERV
DBREALTY,DB REALTY LTD
MARKSANS,MARKSANS PHARMA LT
RUSTOMJEE,Keystone Realtors Limited
VESUVIUS,VESUVIUS INDIA
STARCEMENT,STAR CEMENT LTD
PDSL,PDS LIMITED
CSBBANK,CSB Bank Limited
IFCI,IFCI LTD
GMMPFAUDLR,GMM PFAUDLER LTD
ISGEC,Isgec Heavy Eng Ltd
KNRCON,KNR CONSTRUCTIONS
EASEMYTRIP,Easy Trip Planners Ltd
SAREGAMA,SAREGAMA INDIA LTD
JLHL,Jupiter Life Line Hosp L
INDIGOPNTS,Indigo Paints Limited
LTFOODS,LT FOODS LIMITED
KIRLOSBROS,KIRLOSKAR BROTHERS
RELIGARE,RELIGARE ENTERPRIS
JAICORPLTD,JAI CORP LTD
VIJAYA,Vijaya Diagnostic Cen Ltd
JKPAPER,JK PAPER LTD
UJJIVAN,UJJIVAN FIN SERV
ROLEXRINGS,Rolex Rings Limited
